Senator|Estimated Holdings|Symbol|Company|Sector|Industry|
Kamala Harris (D-CA)|$305,400|IEMG|iShares Core MSCI Emerging Markets ETF|||
David Perdue (R-GA)|$305,300|BAC|Bank of America|||
Tina Smith (D-MN)|$302,200|NEE|NextEra Energy|||
Catherine Cortez Masto (D-NV)|$300,800|GTMUX|Goldman Sachs Small/Mid Cap Fund|||
Angus King (D-ME)|$299,200|SDVSX|Sit Dividend Growth Fund|||
Shelley Moore Capito (R-WV)|$298,400|SVSPX|SSGA S&P 500 Index|||
Ben Cardin (D-MD)|$297,100|CGIIX|Calamos Growth & Income Fund|||
David Perdue (R-GA)|$296,900|GM|General Motors|||
David Perdue (R-GA)|$295,600|PFE|Pfizer Inc|||
John Hoeven (R-ND)|$294,800|PRU|Prudential Financial|||
Roy Blunt (R-MO)|$293,800|VIMSX|US Mid-Cap Equity Index FunD|||
John Hoeven (R-ND)|$291,500|CTSH|Cognizant Technology Solutions Corporation|Technology|EDP Services|
Mitch McConnell (R-KY)|$290,500|NWS|News Corp|||
James M Inhofe (R-OK)|$289,700|PEP|Pepsico Inc|||
David Perdue (R-GA)|$287,300|WMT|Wal-Mart Stores|||
Rob Portman (R-OH)|$285,900|VWAHX|Vanguard High Yield Tax Exempt Fund|||
Jeanne Shaheen (D-NH)|$285,900|TVRRX|TVRRX - Thornburg Value R5 (NASDAQ)|||
Sheldon Whitehouse (D-RI)|$285,300|LRCX|Lam Research Corporation|||
John Boozman (R-AR)|$284,100|TLT|iShares 20+ Year Treasury Bond|||
John Hoeven (R-ND)|$283,700|MDU|MDU Resources Group|||
David Perdue (R-GA)|$283,500|MRK|Merck & Co|||
Thom Tillis (R-NC)|$283,300|OTCFX|T Rowe Price Small Cap Stock|||
Tina Smith (D-MN)|$279,000|IIN|IntriCon Corp|||
John Hoeven (R-ND)|$276,100|MDDVX|MDDVX - BlackRock Equity Dividend Inv A (NASDAQ)|||
Pat Roberts (R-KS)|$276,100|ETY|Eaton Vance Tax-Managed Diversified Equity Income|||
Pat Roberts (R-KS)|$275,300|NVDA|NVIDIA Corporation|||
Dianne Feinstein (D-CA)|$274,100|JNJ|Johnson & Johnson|||
Ben Cardin (D-MD)|$273,500|IVE|Ishares S&P 500 Value Index|||
Tom Carper (D-DE)|$272,700|TCWIX|T-C Lifecycle 2020 Institutional|||
David Perdue (R-GA)|$271,400|DIS|The Walt Disney Co|||
Mazie K Hirono (D-HI)|$270,100|CAIBX|American Funds Capital Income Builder Fund|||
John Boozman (R-AR)|$270,100|AGZ|Barclay Agency Bond|||
John Hoeven (R-ND)|$269,900|FB|Facebook Inc|||
Ben Cardin (D-MD)|$269,400|GSFTX|Columbia Dividend Income A (NASDAQ)|||
John Hoeven (R-ND)|$268,800|AMZN|Amazon.com, Inc.|Consumer Services|Catalog/Specialty Distribution|
Ted Cruz (R-TX)|$267,100|VTTHX|Vanguard Target Retirement 2035|||
Shelley Moore Capito (R-WV)|$266,900|C|Citigroup Common Stock Fund|||
Kamala Harris (D-CA)|$266,900|EWL|iShares MSCI Switzerland Capped ETF|||
Roy Blunt (R-MO)|$266,600|MO|Altria Group|Consumer Non-Durables|Farming/Seeds/Milling|
Rob Portman (R-OH)|$266,000|MDY|SPDR S&P Mid Cap 400 ETF|||
Sheldon Whitehouse (D-RI)|$264,900|PANW|Palo Alto Networks|||
James M Inhofe (R-OK)|$264,800|AAPL|Apple Inc.|Technology|Computer Manufacturing|
Ted Cruz (R-TX)|$264,500|LIJKX|Blackrock Lifepath Portfolio Target 2035|||
David Perdue (R-GA)|$264,400|EPD|Enterprise Products Partners|||
John Hoeven (R-ND)|$262,500|PFE|Pfizer Inc|||
Mark Warner (D-VA)|$262,200|WES|WDE Partners LP|||
John Hoeven (R-ND)|$259,900|CCI|Crown Castle International|||
John Hoeven (R-ND)|$259,200|TJX|TJX Companies|||
John Hoeven (R-ND)|$259,100|T|AT&T Inc|||
Dianne Feinstein (D-CA)|$256,200|SERV|Servicemaster Global Holdings Inc|||
Tom Carper (D-DE)|$253,300|LNC|Lincoln National Corp|||
Mazie K Hirono (D-HI)|$253,100|CWGIX|American Cap World Growth Income Fund|||
Susan Collins (R-ME)|$252,800|ROP|Roper Industries|||
Tim Kaine (D-VA)|$252,200|KO|Coca-Cola Co|||
Doug Jones (D-AL)|$252,200|RWEBX|American Funds Washington Mutual Fund|||
John Hoeven (R-ND)|$251,500|ADP|Automatic Data Processing, Inc.|Technology|EDP Services|
Rob Portman (R-OH)|$250,900|LLINX|Longleaf Partners International|||
Doug Jones (D-AL)|$250,700|ANCFX|American Funds Fundamental Investors Fd|||
Pat Toomey (R-PA)|$250,100|SPY|S&P 500 EFT|||
Susan Collins (R-ME)|$249,800|FASMX|Fidelity Asset Manager Fund|||
Roy Blunt (R-MO)|$249,700|LMT|Lockheed Martin|||
John Hoeven (R-ND)|$248,100|IBM|IBM Corp|||
Patty Murray (D-WA)|$245,000|FLPSX|Fidelity Low Priced Stock Fund|||
Susan Collins (R-ME)|$244,000|TFX|Teleflex Inc|||
Ron Wyden (D-OR)|$243,800|FAGIX|Fidelity Capital & Income Fund|||
Rob Portman (R-OH)|$242,300|OAKIX|Oakmark International Fund|||
Sheldon Whitehouse (D-RI)|$239,400|EL|Estee Lauder Companies|||
Dianne Feinstein (D-CA)|$239,300|JPM|JPMorgan Chase & Co|||
Ron Wyden (D-OR)|$239,000|ACGMX|Invesco Growth & Income Fund|||
Jerry Moran (R-KS)|$238,200|CAIBX|American Funds Capital Income Builder Fund|||
Tom Udall (D-NM)|$237,700|EWEAX|Wells Fargo Advantage Intrns Wld Eq Fund|||
Sheldon Whitehouse (D-RI)|$237,300|TMO|Thermo Fisher Scientific|||
Rob Portman (R-OH)|$237,100|CISGX|Touchstone Sands Capital Institutional Growth|||
Bill Cassidy (R-LA)|$236,700|SGENX|First Eagle Funds - Global Fund Mutual Fund|||
Rob Portman (R-OH)|$236,600|CMVYX|Columbia Mid Cap Value Fund|||
Dan Sullivan (R-AK)|$236,200|HACAX|Harbor Capital Appreciation Institutional|||
Pat Toomey (R-PA)|$234,000|IJR|iShares Core S&P Small Cap ETF|||
David Perdue (R-GA)|$233,700|GLW|Corning Inc|||
Thom Tillis (R-NC)|$231,800|IWM|iShares Russell 2000 ETF|||
Ron Wyden (D-OR)|$231,700|SGENX|First Eagle Funds - Global Fund Mutual Fund|||
Sheldon Whitehouse (D-RI)|$230,300|VZ|Verizon Communications|||
John Hoeven (R-ND)|$229,500|WW|Weight Watchers International, Inc.|||
Dick Durbin (D-IL)|$228,600|FBIOX|Fidelity Select Biotechnology Portfolio|||
Mazie K Hirono (D-HI)|$228,100|EXDAX|Manning & Napier Pro-Blend Cnsrv Term Fund|||
