Senator,Estimated Holdings,Symbol,Company,Sector,Industry,P,S
Ron Wyden (D-OR),239000,ACGMX,Invesco Growth & Income Fund,Technology,Semiconductors,D,OR
Jerry Moran (R-KS),238200,CAIBX,American Funds Capital Income Builder Fund,Technology,Semiconductors,R,KS
Tom Udall (D-NM),237700,EWEAX,Wells Fargo Advantage Intrns Wld Eq Fund,Technology,Semiconductors,D,NM
Sheldon Whitehouse (D-RI),237300,TMO,Thermo Fisher Scientific,Technology,Semiconductors,D,RI
Rob Portman (R-OH),237100,CISGX,Touchstone Sands Capital Institutional Growth,Technology,Semiconductors,R,OH
Bill Cassidy (R-LA),236700,SGENX,First Eagle Funds - Global Fund Mutual Fund,Technology,Semiconductors,R,LA
Rob Portman (R-OH),236600,CMVYX,Columbia Mid Cap Value Fund,Technology,Semiconductors,R,OH
Dan Sullivan (R-AK),236200,HACAX,Harbor Capital Appreciation Institutional,Technology,Semiconductors,R,AK
Pat Toomey (R-PA),234000,IJR,iShares Core S&P Small Cap ETF,Technology,Semiconductors,R,PA
David Perdue (R-GA),233700,GLW,Corning Inc,Technology,Semiconductors,R,GA
Thom Tillis (R-NC),231800,IWM,iShares Russell 2000 ETF,Technology,Semiconductors,R,NC
Ron Wyden (D-OR),231700,SGENX,First Eagle Funds - Global Fund Mutual Fund,Technology,Semiconductors,D,OR
Sheldon Whitehouse (D-RI),230300,VZ,Verizon Communications,Technology,Semiconductors,D,RI
John Hoeven (R-ND),229500,WW,"Weight Watchers International, Inc.",Technology,Semiconductors,R,ND
Dick Durbin (D-IL),228600,FBIOX,Fidelity Select Biotechnology Portfolio,Technology,Semiconductors,D,IL
Mazie K Hirono (D-HI),228100,EXDAX,Manning & Napier Pro-Blend Cnsrv Term Fund,Technology,Semiconductors,D,HI
Bill Cassidy (R-LA),228000,JNBAX,JPMorgan Income Builder Select,Technology,Semiconductors,R,LA
James M Inhofe (R-OK),228000,COST,Costco Wholesale,Technology,Semiconductors,R,OK
Bill Cassidy (R-LA),227800,OAKBX,Oakmark Equity & Income Fund,Technology,Semiconductors,R,LA
Ted Cruz (R-TX),227100,EPD,Enterprise Products Partners,Technology,Semiconductors,R,TX
Tina Smith (D-MN),226800,MDT,Medtronic Inc,Technology,Semiconductors,D,MN
John Hoeven (R-ND),226300,AVGO,Broadcom Inc.,Technology,Semiconductors,R,ND
David Perdue (R-GA),225600,MOS,Mosaic Co,Finance,Investment Bankers/Brokers/Service,R,GA
Tim Kaine (D-VA),225400,VWIAX,Vanguard Wellesley Income Inv,Finance,Investment Bankers/Brokers/Service,D,VA
Tina Smith (D-MN),224400,USB,U.S. Bancorp,Finance,Investment Bankers/Brokers/Service,D,MN
Sheldon Whitehouse (D-RI),223900,UNH,Unitedhealth Group,Finance,Investment Bankers/Brokers/Service,D,RI
Lamar Alexander (R-TN),223500,GTEYX,Gateway Y,Finance,Investment Bankers/Brokers/Service,R,TN
Ron Wyden (D-OR),223300,DFSTX,DFA US Small Cap Fund,Finance,Investment Bankers/Brokers/Service,D,OR
Kelly Loeffler (R-GA),222100,CME,CME Group Inc.,Finance,Investment Bankers/Brokers/Service,R,GA
Mitch McConnell (R-KY),222000,AGTHX,American Funds Growth Fund of America,Technology,Computer Software: Prepackaged Software,R,KY
John Hoeven (R-ND),221000,MGBIX,AMG Managers Bond Service (NASDAQ),Technology,Computer Software: Prepackaged Software,R,ND
Tim Kaine (D-VA),219900,SGENX,First Eagle Funds - Global Fund Mutual Fund,Technology,Computer Software: Prepackaged Software,D,VA
David Perdue (R-GA),219400,WPX,WPX Energy,Technology,Computer Software: Prepackaged Software,R,GA
Sheldon Whitehouse (D-RI),217700,SBUX,Starbucks Corp,Technology,Computer Software: Prepackaged Software,D,RI
Ben Sasse (R-NE),217300,VUG,Vanguard Growth ETF,Technology,Computer Software: Prepackaged Software,R,NE
David Perdue (R-GA),217200,JPM,JPMorgan Chase & Co,Technology,Computer Software: Prepackaged Software,R,GA
Kamala Harris (D-CA),217200,EPP,iShares MSCI Pacific ex Japan ETF,Technology,Computer Software: Prepackaged Software,D,CA
Richard Burr (R-NC),215700,EPD,Enterprise Products Partners,Technology,Computer Software: Prepackaged Software,R,NC
Ron Wyden (D-OR),215400,MCLOX,Blackrock Global Allocation Fund,Technology,Computer Software: Prepackaged Software,D,OR
Susan Collins (R-ME),215300,ECL,Ecolab Inc,Technology,Computer Software: Prepackaged Software,R,ME
Mark Warner (D-VA),215100,IWP,iShares Russell Mid Cap Growth ETF,Technology,Computer Software: Prepackaged Software,D,VA
Pat Toomey (R-PA),214300,PHD,PHILLIPS EDISON GR,Technology,Computer Software: Prepackaged Software,R,PA
Sheldon Whitehouse (D-RI),214100,PG,Procter & Gamble,Technology,Computer Software: Prepackaged Software,D,RI
Dan Sullivan (R-AK),214100,MCLOX,Blackrock Global Allocation Fund,Technology,Computer Software: Prepackaged Software,R,AK
